n121_eagleowl_or_reverif_v118_v130.htm — EagleOwl_v1 · XAUUSD.p · 8652 lignes de deals · sorties non attribuées : 0
jeu                       tr    net $    PF    moy  creux$ net/cr   sl   tp |      2021      2022      2023      2024
M5_C                     226      509  1.47   2.25     123   4.13  155   65 |   215/60    146/61    196/56    -48/49 
Gold Reaper 6|1955.31      3       19   inf   6.45       0 161.17    0    3 |     0/0       0/0      19/3       0/0  
Gold Reaper 5|2008.30      2       19   inf   9.65       0 241.25    1    1 |     0/0       0/0       0/0      19/2  
Gold Reaper 7|1732.57      2       19   inf   9.62       0 240.38    0    2 |     0/0      19/2       0/0       0/0  
Gold Reaper 6|1845.23      1       19   inf  19.20       0 480.00    0    1 |    19/1       0/0       0/0       0/0  
Gold Reaper 5|1844.66      1       19   inf  19.17       0 479.25    0    1 |    19/1       0/0       0/0       0/0  
Gold Reaper 6|1937.37      3       19   inf   6.35       0 158.75    0    3 |     0/0       0/0      19/3       0/0  
GoldDaily1|2009.92         1       19   inf  19.02       0 475.50    1    0 |     0/0       0/0      19/1       0/0  
Gold Reaper 6|2354.69      5       19  5.75   3.79       4   4.23    0    3 |     0/0       0/0       0/0      19/5  
GoldbotOne_8|1791.60       1       19   inf  18.72       0 468.00    0    1 |    19/1       0/0       0/0       0/0  
Gold Reaper 5|1818.47      3       19   inf   6.21       0 155.17    0    3 |    19/3       0/0       0/0       0/0  
Gold Reaper 7|1793.09      2       19   inf   9.29       0 232.25    0    2 |    19/2       0/0       0/0       0/0  
Gold Reaper 5|1942.54      4       18  9.07   4.62       3   6.97    0    2 |     0/0       0/0      18/4       0/0  
GoldbotOne_8|1833.35       1       18   inf  18.47       0 461.75    0    1 |     0/0       0/0      18/1       0/0  
Gold Reaper 6|1928.97      5       18  7.27   3.68       3   5.42    0    5 |     0/0       0/0      18/5       0/0  
Gold Reaper 6|1805.80      4       18 15.63   4.60       2  11.51    0    3 |    18/4       0/0       0/0       0/0  
GoldDaily3|1853.87         1       18   inf  18.35       0 458.75    0    1 |     0/0      18/1       0/0       0/0  
goldtrade_D|2613.45        1       18   inf  18.18       0 454.50    0    1 |     0/0       0/0       0/0      18/1  
GoldbotOne_8|1719.23       1       18   inf  18.07       0 451.75    0    1 |    18/1       0/0       0/0       0/0  
GoldbotOne_8|1697.60       1       18   inf  18.07       0 451.75    0    1 |     0/0      18/1       0/0       0/0  
Gold Reaper 6|1782.37      9       18  3.85   2.00       6   3.07    5    2 |    18/9       0/0       0/0       0/0  
